1+11=13|1+11=12
1+12=12|1+12=13
1+12=15|1+12=13
1+14=13|1+14=15
1+15=10|1+15=16
1+15=19|1+15=16
1+18=10|1+18=19
1+18=16|1+18=19
1+19=26|1+19=20
1+19=29|1+19=20
1+21=23|1+21=22
1+22=22|1+22=23
1+22=25|1+22=23
1+24=23|1+24=25
1+25=20|1+25=26
1+25=29|1+25=26
1+28=20|1+28=29
1+28=26|1+28=29
1+29=36|1+29=30
1+29=39|1+29=30
1+31=33|1+31=32
1+32=32|1+32=33
1+32=35|1+32=33
1+34=33|1+34=35
1+35=30|1+35=36
1+35=39|1+35=36
1+38=30|1+38=39
1+38=36|1+38=39
1+39=46|1+39=40
1+39=49|1+39=40
1+41=43|1+41=42
1+42=42|1+42=43
1+42=45|1+42=43
1+44=43|1+44=45
1+45=40|1+45=46
1+45=49|1+45=46
1+48=40|1+48=49
1+48=46|1+48=49
1+49=56|1+49=50
1+49=59|1+49=50
1+51=53|1+51=52
1+52=52|1+52=53
1+52=55|1+52=53
1+54=53|1+54=55
1+55=50|1+55=56
1+55=59|1+55=56
1+58=56|1+58=59
1+61=63|1+61=62
1+62=62|1+62=63
1+62=65|1+62=63
1+64=63|1+64=65
1+65=69|1+65=66
1+68=60|1+68=69
1+68=66|1+68=69
1+69=76|1+69=70
1+69=79|1+69=70
1+71=73|1+71=72
1+72=72|1+72=73
1+72=75|1+72=73
1+74=73|1+74=75
1+75=70|1+75=76
1+75=79|1+75=76
1+78=70|1+78=79
1+78=76|1+78=79
1+79=86|1+79=80
1+79=89|1+79=80
1+81=83|1+81=82
1+82=82|1+82=83
1+82=85|1+82=83
1+84=83|1+84=85
1+85=89|1+85=86
1+88=80|1+88=89
1+88=86|1+88=89
1+91=93|1+91=92
1+92=92|1+92=93
1+92=95|1+92=93
1+94=93|1+94=95
1+95=90|1+95=96
1+95=99|1+95=96
1+98=96|1+98=99
1+99=106|1+99=100
1+99=109|1+99=100
10-1=0|10-1=9
10-1=6|10-1=9
10-4=0|10-4=6
10-4=9|10-4=6
10-5=3|10-5=5
10-7=2|10-7=3
10-8=3|10-8=2
11-1=16|11-1=10
11-1=19|11-1=10
11-2=0|11-2=9
11-2=6|11-2=9
11-5=0|11-5=6
11-6=3|11-6=5
11-8=2|11-8=3
11-8=5|11-8=3
11-9=3|11-9=2
11+1=13|11+1=12
11+11=23|11+11=22
11+12=22|11+12=23
11+12=25|11+12=23
11+14=23|11+14=25
11+15=20|11+15=26
11+15=29|11+15=26
11+18=20|11+18=29
11+18=26|11+18=29
11+19=36|11+19=30
11+19=39|11+19=30
11+2=12|11+2=13
11+21=33|11+21=32
11+22=32|11+22=33
11+22=35|11+22=33
11+24=33|11+24=35
11+25=30|11+25=36
11+25=39|11+25=36
11+28=30|11+28=39
11+28=36|11+28=39
11+29=46|11+29=40
11+29=49|11+29=40
11+31=43|11+31=42
11+32=42|11+32=43
11+32=45|11+32=43
11+34=43|11+34=45
11+35=40|11+35=46
11+35=49|11+35=46
11+38=40|11+38=49
11+38=46|11+38=49
11+39=56|11+39=50
11+39=59|11+39=50
11+41=53|11+41=52
11+42=52|11+42=53
11+42=55|11+42=53
11+44=53|11+44=55
11+45=50|11+45=56
11+45=59|11+45=56
11+48=56|11+48=59
11+49=66|11+49=60
11+5=10|11+5=16
11+5=19|11+5=16
11+51=63|11+51=62
11+52=62|11+52=63
11+52=65|11+52=63
11+54=63|11+54=65
