0+11=17|6+11=17
0+11=20|9+11=20
0+12=18|6+12=18
0+12=21|9+12=21
0+13=19|6+13=19
0+13=22|9+13=22
0+14=20|6+14=20
0+14=23|9+14=23
0+15=21|6+15=21
0+15=24|9+15=24
0+16=22|6+16=22
0+16=25|9+16=25
0+17=23|6+17=23
0+19=25|6+19=25
0+19=28|9+19=28
0+21=27|6+21=27
0+21=30|9+21=30
0+22=28|6+22=28
0+22=31|9+22=31
0+23=29|6+23=29
0+23=32|9+23=32
0+24=30|6+24=30
0+24=33|9+24=33
0+25=31|6+25=31
0+25=34|9+25=34
0+26=32|6+26=32
0+26=35|9+26=35
0+27=33|6+27=33
0+29=35|6+29=35
0+29=38|9+29=38
0+31=37|6+31=37
0+31=40|9+31=40
0+32=38|6+32=38
0+32=41|9+32=41
0+33=39|6+33=39
0+33=42|9+33=42
0+34=40|6+34=40
0+34=43|9+34=43
0+35=41|6+35=41
0+35=44|9+35=44
0+36=42|6+36=42
0+36=45|9+36=45
0+37=43|6+37=43
0+39=45|6+39=45
0+39=48|9+39=48
0+41=47|6+41=47
0+41=50|9+41=50
0+42=48|6+42=48
0+42=51|9+42=51
0+43=49|6+43=49
0+43=52|9+43=52
0+44=50|6+44=50
0+44=53|9+44=53
0+45=51|6+45=51
0+45=54|9+45=54
0+46=52|6+46=52
0+46=55|9+46=55
0+47=53|6+47=53
0+49=55|6+49=55
0+49=58|9+49=58
0+51=57|6+51=57
0+51=60|9+51=60
0+52=58|6+52=58
0+52=61|9+52=61
0+53=59|6+53=59
0+53=62|9+53=62
0+54=60|6+54=60
0+54=63|9+54=63
0+55=61|6+55=61
0+55=64|9+55=64
0+56=62|6+56=62
0+57=63|6+57=63
0+61=67|6+61=67
0+61=70|9+61=70
0+62=68|6+62=68
0+62=71|9+62=71
0+63=69|6+63=69
0+63=72|9+63=72
0+64=70|6+64=70
0+64=73|9+64=73
0+65=71|6+65=71
0+65=74|9+65=74
0+66=72|6+66=72
0+66=75|9+66=75
0+67=73|6+67=73
0+69=75|6+69=75
0+69=78|9+69=78
0+71=77|6+71=77
0+71=80|9+71=80
0+72=78|6+72=78
0+72=81|9+72=81
0+73=79|6+73=79
0+73=82|9+73=82
0+74=80|6+74=80
0+74=83|9+74=83
0+75=81|6+75=81
0+75=84|9+75=84
0+76=82|6+76=82
0+76=85|9+76=85
0+77=83|6+77=83
0+79=85|6+79=85
0+79=88|9+79=88
0+81=87|6+81=87
0+81=90|9+81=90
0+82=88|6+82=88
0+82=91|9+82=91
0+83=89|6+83=89
0+83=92|9+83=92
0+84=90|6+84=90
0+84=93|9+84=93
0+85=91|6+85=91
0+85=94|9+85=94
0+86=92|6+86=92
0+87=93|6+87=93
0+91=100|9+91=100
0+91=97|6+91=97
0+92=101|9+92=101
0+92=98|6+92=98
0+93=102|9+93=102
0+93=99|6+93=99
0+94=100|6+94=100
0+94=103|9+94=103
0+95=101|6+95=101
0+95=104|9+95=104
0+96=102|6+96=102
0+96=105|9+96=105
0+97=103|6+97=103
0+99=105|6+99=105
0+99=108|9+99=108
1+10=17|1+16=17
1+10=20|1+19=20
1+12=14|1+13=14
1+13=13|1+12=13
