0+10=16|6+10=16
0+10=19|9+10=19
0+10=78|8+10=18
0+11=18|8+11=19
0+11=79|8+11=19
0+12=28|8+12=20
0+13=27|8+13=21
0+15=29|8+15=23
0+17=26|8+17=25
0+17=29|8+17=25
0+18=24|6+18=24
0+18=27|8+19=27
0+18=28|8+18=26
0+2=18|8+2=10
0+20=26|6+20=26
0+20=29|9+20=29
0+21=28|8+21=29
0+22=38|8+22=30
0+22=90|8+22=30
0+23=37|8+23=31
0+23=91|8+23=31
0+24=92|8+24=32
0+25=39|8+25=33
0+25=93|8+25=33
0+26=94|8+26=34
0+27=36|8+27=35
0+27=39|8+27=35
0+27=95|8+27=35
0+28=34|6+28=34
0+28=37|8+29=37
0+28=38|8+28=36
0+28=96|8+28=36
0+29=97|8+29=37
0+3=17|8+3=11
0+30=36|6+30=36
0+30=39|9+30=39
0+30=98|8+30=38
0+31=38|8+31=39
0+31=99|8+31=39
0+32=48|8+32=40
0+33=47|8+33=41
0+35=49|8+35=43
0+37=46|8+37=45
0+37=49|8+37=45
0+38=44|6+38=44
0+38=47|8+39=47
0+38=48|8+38=46
0+40=46|6+40=46
0+40=49|9+40=49
0+41=48|8+41=49
0+42=58|8+42=50
0+42=60|8+42=50
0+42=90|8+42=50
0+43=57|8+43=51
0+43=61|8+43=51
0+43=91|8+43=51
0+44=62|8+44=52
0+44=92|8+44=52
0+45=59|8+45=53
0+45=63|8+45=53
0+45=93|8+45=53
0+46=64|8+46=54
0+46=94|8+46=54
0+47=56|8+47=55
0+47=59|8+47=55
0+47=65|8+47=55
0+47=95|8+47=55
0+48=54|6+48=54
0+48=57|8+49=57
0+48=58|8+48=56
0+48=66|8+48=56
0+48=96|8+48=56
0+49=67|8+49=57
0+49=97|8+49=57
0+5=19|8+5=13
0+50=56|6+50=56
0+50=59|9+50=59
0+50=68|8+50=58
0+50=98|8+50=58
0+51=58|8+51=59
0+51=69|8+51=59
0+51=99|8+51=59
0+52=68|8+52=60
0+52=80|8+52=60
0+53=67|8+53=61
0+53=81|8+53=61
0+54=82|8+54=62
0+55=69|8+55=63
0+55=83|8+55=63
0+56=65|9+56=65
0+56=84|8+56=64
0+57=66|8+57=65
0+57=69|8+57=65
0+57=85|8+57=65
0+58=64|6+58=64
0+58=67|8+59=67
0+58=68|8+58=66
0+58=86|8+58=66
0+59=63|8+55=63
0+59=65|6+59=65
0+59=68|9+59=68
0+59=87|8+59=67
0+60=58|8+50=58
0+60=66|6+60=66
0+60=69|9+60=69
0+60=88|8+60=68
0+61=68|8+61=69
0+61=89|8+61=69
0+62=78|8+62=70
0+63=77|8+63=71
0+65=63|8+55=63
0+65=79|8+65=73
0+67=76|8+67=75
0+67=79|8+67=75
0+68=74|6+68=74
0+68=77|8+69=77
0+68=78|8+68=76
0+7=19|8+7=15
0+70=18|8+10=18
0+70=76|6+70=76
0+70=79|9+70=79
0+71=78|8+71=79
0+72=88|8+72=80
0+73=87|8+73=81
0+75=89|8+75=83
0+77=86|8+77=85
0+77=89|8+77=85
0+78=84|6+78=84
0+78=87|8+79=87
0+78=88|8+78=86
0+8=18|8+8=16
0+80=68|8+60=68
0+80=86|6+80=86
0+80=89|9+80=89
0+80=98|8+90=98
0+81=88|8+81=89
0+82=80|8+82=90
0+82=98|8+82=90
0+83=81|8+83=91
0+83=97|8+83=91
0+84=82|8+84=92
0+85=83|8+85=93
0+85=99|8+85=93
0+86=84|8+86=94
0+86=95|9+86=95
0+87=85|8+87=95
0+87=96|8+87=95
0+87=99|8+87=95
0+88=86|8+88=96
0+88=94|6+88=94
0+88=97|8+89=97
0+88=98|8+88=96
0+89=87|8+89=97
0+89=93|8+85=93
0+89=95|6+89=95
0+89=98|9+89=98
0+90=38|8+30=38
0+90=58|8+50=58
0+90=88|8+90=98
0+90=96|6+90=96
0+90=99|9+90=99
0+91=89|8+91=99
0+91=98|8+91=99
0+92=108|8+92=100
0+92=180|8+92=100
0+92=700|8+92=100
0+93=107|8+93=101
0+93=181|8+93=101
0+93=701|8+93=101
0+94=182|8+94=102
0+94=702|8+94=102
0+95=109|8+95=103
0+95=183|8+95=103
0+95=703|8+95=103
0+96=184|8+96=104
0+96=704|8+96=104
0+97=106|8+97=105
0+97=109|8+97=105
0+97=185|8+97=105
0+97=705|8+97=105
0+98=104|6+98=104
0+98=107|8+99=107
0+98=108|8+98=106
0+98=186|8+98=106
0+98=706|8+98=106
0+99=187|8+99=107
0+99=707|8+99=107
1-10=17|1+10=11
1-10=71|1+10=11
1-11=72|1+11=12
1-12=19|1+12=13
1-12=73|1+12=13
1-13=74|1+13=14
1-14=16|1+14=15
1-14=19|1+14=15
1-14=75|1+14=15
1-15=18|1+15=16
1-15=76|1+15=16
1-16=16|1+15=16
1-16=77|1+16=17
1-17=12|1+11=12
1-17=78|1+17=18
1-18=11|1+10=11
1-18=17|1+16=17
1-18=18|1+18=19
1-18=20|1+19=20
1-18=79|1+18=19
1-19=14|1+13=14
1-19=16|1+15=16
1-19=28|1+19=20
1-20=27|1+20=21
1-22=29|1+22=23
1-24=26|1+24=25
1-24=29|1+24=25
1-25=28|1+25=26
1-26=26|1+25=26
1-27=22|1+21=22
1-28=21|1+20=21
1-28=27|1+26=27
1-28=28|1+28=29
1-28=30|1+29=30
1-29=24|1+23=24
1-29=26|1+25=26
1-29=38|1+29=30
1-29=90|1+29=30
1-30=37|1+30=31
1-30=91|1+30=31
1-31=92|1+31=32
1-32=39|1+32=33
1-32=93|1+32=33
1-33=94|1+33=34
1-34=36|1+34=35
1-34=39|1+34=35
1-34=95|1+34=35
1-35=38|1+35=36
1-35=96|1+35=36
1-36=36|1+35=36
1-36=97|1+36=37
1-37=32|1+31=32
1-37=98|1+37=38
1-38=31|1+30=31
1-38=37|1+36=37
1-38=38|1+38=39
1-38=40|1+39=40
1-38=99|1+38=39
1-39=34|1+33=34
1-39=36|1+35=36
1-39=48|1+39=40
1-40=47|1+40=41
1-42=49|1+42=43
1-44=46|1+44=45
1-44=49|1+44=45
1-45=48|1+45=46
1-46=46|1+45=46
1-47=42|1+41=42
1-48=41|1+40=41
1-48=47|1+46=47
1-48=48|1+48=49
1-48=50|1+49=50
1-49=44|1+43=44
1-49=46|1+45=46
1-49=58|1+49=50
1-49=60|1+49=50
1-49=90|1+49=50
1-50=57|1+50=51
1-50=61|1+50=51
1-50=91|1+50=51
1-51=62|1+51=52
1-51=92|1+51=52
1-52=59|1+52=53
1-52=63|1+52=53
1-52=93|1+52=53
1-53=64|1+53=54
1-53=94|1+53=54
1-54=56|1+54=55
1-54=59|1+54=55
1-54=65|1+54=55
1-54=95|1+54=55
1-55=58|1+55=56
1-55=66|1+55=56
1-55=96|1+55=56
1-56=56|1+55=56
1-56=67|1+56=57
1-56=97|1+56=57
1-57=52|1+51=52
1-57=68|1+57=58
1-57=98|1+57=58
1-58=51|1+50=51
1-58=57|1+56=57
1-58=58|1+58=59
1-58=60|1+59=60
1-58=69|1+58=59
1-58=99|1+58=59
1-59=54|1+53=54
1-59=56|1+55=56
1-59=68|1+59=60
1-59=80|1+59=60
1-60=51|1+50=51
1-60=67|1+60=61
1-60=81|1+60=61
1-61=52|1+51=52
1-61=82|1+61=62
1-62=53|1+52=53
1-62=69|1+62=63
1-62=83|1+62=63
1-63=54|1+53=54
1-63=84|1+63=64
1-64=55|1+54=55
1-64=66|1+64=65
1-64=69|1+64=65
1-64=85|1+64=65
1-65=56|1+55=56
1-65=68|1+65=66
1-65=86|1+65=66
1-66=57|1+56=57
1-66=66|1+65=66
1-66=87|1+66=67
1-67=58|1+57=58
1-67=62|1+61=62
1-67=88|1+67=68
1-68=59|1+58=59
1-68=61|1+60=61
1-68=67|1+66=67
1-68=68|1+68=69
1-68=70|1+69=70
1-68=89|1+68=69
1-69=60|1+59=60
1-69=64|1+63=64
1-69=66|1+65=66
1-69=78|1+69=70
1-70=11|1+10=11
1-70=77|1+70=71
1-71=12|1+11=12
1-72=13|1+12=13
1-72=79|1+72=73
1-73=14|1+13=14
1-74=15|1+14=15
1-74=76|1+74=75
1-74=79|1+74=75
1-75=16|1+15=16
1-75=78|1+75=76
