0-7=7|8-1=7
0-8=2|8-6=2
0-9=5|8-3=5
0+16=23|8+15=23
0+17=19|8+11=19
0+19=21|8+13=21
0+19=23|8+15=23
0+26=33|8+25=33
0+27=29|8+21=29
0+29=31|8+23=31
0+29=33|8+25=33
0+36=43|8+35=43
0+37=39|8+31=39
0+39=41|8+33=41
0+39=43|8+35=43
0+46=53|8+45=53
0+47=49|8+41=49
0+49=51|8+43=51
0+49=53|8+45=53
0+56=63|8+55=63
0+57=59|8+51=59
0+59=61|8+53=61
0+6=13|8+5=13
0+66=73|8+65=73
0+67=69|8+61=69
0+69=71|8+63=71
0+69=73|8+65=73
0+7=9|8+1=9
0+76=83|8+75=83
0+77=79|8+71=79
0+79=81|8+73=81
0+79=83|8+75=83
0+86=93|8+85=93
0+87=89|8+81=89
0+89=91|8+83=91
0+9=11|8+3=11
0+9=13|8+5=13
0+96=103|8+95=103
0+97=99|8+91=99
0+99=101|8+93=101
0+99=103|8+95=103
1-6=2|7-5=2
1-7=6|7-1=6
1-8=1|7-6=1
1-9=2|7-5=2
1-9=4|1+3=4
1+16=22|7+15=22
1+18=17|7+10=17
1+18=23|7+16=23
1+19=22|7+15=22
1+26=32|7+25=32
1+28=27|7+20=27
1+28=33|7+26=33
1+29=32|7+25=32
1+36=42|7+35=42
1+38=37|7+30=37
1+38=43|7+36=43
1+39=42|7+35=42
1+46=52|7+45=52
1+48=47|7+40=47
1+48=53|7+46=53
1+49=52|7+45=52
1+56=62|7+55=62
1+58=57|7+50=57
1+59=62|7+55=62
1+6=12|7+5=12
1+66=72|7+65=72
1+68=67|7+60=67
1+68=73|7+66=73
1+69=72|7+65=72
1+76=82|7+75=82
1+78=77|7+70=77
1+78=83|7+76=83
1+79=82|7+75=82
1+8=13|7+6=13
1+86=92|7+85=92
1+88=87|7+80=87
1+89=92|7+85=92
1+9=12|7+5=12
1+96=102|7+95=102
1+98=103|7+96=103
1+98=97|7+90=97
1+99=102|7+95=102
10-18=2|18-16=2
10-19=3|18-15=3
10-19=5|18-13=5
10-8=12|18-6=12
10-8=9|18-9=9
10+16=33|18+15=33
10+17=29|18+11=29
10+19=31|18+13=31
10+19=33|18+15=33
10+26=43|18+25=43
10+27=39|18+21=39
10+29=43|18+25=43
10+36=53|18+35=53
10+37=49|18+31=49
10+39=51|18+33=51
10+39=53|18+35=53
10+46=63|18+45=63
10+47=59|18+41=59
10+49=61|18+43=61
10+56=73|18+55=73
10+57=69|18+51=69
10+59=71|18+53=71
10+6=23|18+5=23
10+66=83|18+65=83
10+67=79|18+61=79
10+69=81|18+63=81
10+69=83|18+65=83
10+7=19|18+1=19
10+76=93|18+75=93
10+77=89|18+71=89
10+79=91|18+73=91
10+86=103|18+85=103
10+87=99|18+81=99
10+89=101|18+83=101
10+9=21|18+3=21
10+9=23|18+5=23
10+96=113|18+95=113
10+97=109|18+91=109
10+99=111|18+93=111
10+99=113|18+95=113
11-16=2|17-15=2
11-17=6|17-11=6
11-18=1|17-16=1
11-18=7|17-10=7
11-19=2|17-15=2
11-19=4|17-13=4
11-6=12|17-5=12
11-7=16|17-1=16
11-9=12|17-5=12
11+16=32|17+15=32
11+18=27|17+10=27
11+18=33|17+16=33
11+19=32|17+15=32
11+26=42|17+25=42
11+28=37|17+20=37
11+36=52|17+35=52
11+38=47|17+30=47
11+38=53|17+36=53
11+39=52|17+35=52
11+46=62|17+45=62
11+48=57|17+40=57
11+49=62|17+45=62
11+56=72|17+55=72
11+58=67|17+50=67
11+58=73|17+56=73
11+59=72|17+55=72
11+6=22|17+5=22
11+66=82|17+65=82
11+68=77|17+60=77
11+68=83|17+66=83
11+69=82|17+65=82
11+76=92|17+75=92
11+78=87|17+70=87
11+78=93|17+76=93
11+79=92|17+75=92
11+8=23|17+6=23
11+86=102|17+85=102
11+88=97|17+80=97
11+89=102|17+85=102
11+9=22|17+5=22
11+96=112|17+95=112
11+98=107|17+90=107
11+98=113|17+96=113
11+99=112|17+95=112
13-16=4|19-15=4
13-17=8|19-11=8
13-18=3|19-16=3
13-18=9|19-10=9
13-19=4|19-15=4
13-19=6|19-13=6
13-6=14|19-5=14
13-7=18|19-1=18
13-8=10|19-9=10
13-9=14|19-5=14
13+16=34|19+15=34
13+18=29|19+10=29
13+18=35|19+16=35
13+18=38|19+19=38
13+26=44|19+25=44
13+28=39|19+20=39
13+28=48|19+29=48
13+36=54|19+35=54
13+38=49|19+30=49
13+38=55|19+36=55
13+38=58|19+39=58
13+46=64|19+45=64
13+48=59|19+40=59
13+48=65|19+46=65
13+48=68|19+49=68
13+56=74|19+55=74
13+58=69|19+50=69
13+58=75|19+56=75
13+58=78|19+59=78
13+6=24|19+5=24
13+66=84|19+65=84
13+68=79|19+60=79
13+68=85|19+66=85
13+68=88|19+69=88
13+76=94|19+75=94
13+78=89|19+70=89
13+78=95|19+76=95
13+78=98|19+79=98
13+8=25|19+6=25
13+8=28|19+9=28
13+86=104|19+85=104
13+88=105|19+86=105
13+88=108|19+89=108
13+88=99|19+80=99
13+96=114|19+95=114
13+98=109|19+90=109
13+98=115|19+96=115
13+98=118|19+99=118
15-16=1|16-15=1
15-16=4|19-15=4
15-17=5|16-11=5
15-17=8|19-11=8
